airport_id,name,city,country,iata,latitude,longitude
3274,Pinang Kampai Airport,Dumai,Indonesia,DUM,1.60919,101.433998
3275,Soekarno-Hatta International Airport,Jakarta,Indonesia,CGK,-6.1255698204,106.65599823
3276,Binaka Airport,Gunung Sitoli,Indonesia,GNS,1.16638,97.704697
3277,Aek Godang Airport,Padang Sidempuan,Indonesia,AEG,1.4001,99.430496
3278,Minangkabau International Airport,Padang,Indonesia,PDG,-0.786917,100.280998
3279,Soewondo Air Force Base,Medan,Indonesia,MES,3.559167,98.671111
3280,Dr Ferdinand Lumban Tobing Airport,Sibolga,Indonesia,FLZ,1.55594,98.888901
3281,Nanga Pinoh Airport,Nangapinoh,Indonesia,NPO,-0.34886899590492,111.74800109863
3282,Ketapang(Rahadi Usman) Airport,Ketapang,Indonesia,KTG,-1.816640019416809,109.96299743652344
3284,Supadio Airport,Pontianak,Indonesia,PNK,-0.1507109999656677,109.40399932861328
3287,Sultan Thaha Airport,Jambi,Indonesia,DJB,-1.6380200386047363,103.6439971923828
3288,Fatmawati Soekarno Airport,Bengkulu,Indonesia,BKS,-3.8637,102.338997
